run_id,method,budget,seed_label,round_idx,train_size_before,selected_count,disagreement_metric,mean_disagreement,max_disagreement,mean_score,max_score,p90_score,selected_mean_score,selected_min_score,selected_max_score,preselect_size,eval_mse,eval_rmse,marker_pca_components,hybrid_marker_pca_components,marker_diversity_weight,marker_sparsity_weight,mean_selected_to_train_distance,mean_marker_diversity,p90_marker_diversity,max_marker_diversity,mean_marker_sparsity,p90_marker_sparsity,max_marker_sparsity,mean_selected_marker_diversity,mean_selected_marker_sparsity,mean_selected_hybrid_diversity,mean_selected_hybrid_sparsity,mean_selected_hybrid_uncertainty,mean_selected_hybrid_score,train_seconds,candidate_generation_seconds,candidate_simulation_seconds,acquisition_seconds,selected_simulation_seconds,eval_seconds,round_seconds
marker_directed_b1024_s02,marker_directed,b1024,s02,0,64,64,,,,0.21505968272686005,0.8838707208633423,0.37903618812561035,0.5725414156913757,0.32842251658439636,0.8838707208633423,320,,,3,,0.6,0.4,1.7262569015742735,0.7313990890402234,1.2864926879871632,2.8265964521343654,2.1334238212012138,3.0697066167999627,6.573521691658965,1.7262569015742735,4.0384826099597575,,,,,0.0,0.0006699810037389398,4.122618344030343,0.4855110940989107,0.0,0.0,4.610079259960912
marker_directed_b1024_s02,marker_directed,b1024,s02,1,128,64,,,,0.35041967034339905,0.8620904684066772,0.5382018685340881,0.6144711375236511,0.49281013011932373,0.8620904684066772,320,,,3,,0.6,0.4,0.8110896403205303,0.4602975210217584,0.72221060382158,1.0835491606248044,1.3734585091155018,1.6703431425270607,2.692012293249774,0.8110896403205303,1.6706589093870625,,,,,0.0,0.000793611048720777,4.027408035937697,0.48884006903972477,0.0,0.0,4.518500479054637
marker_directed_b1024_s02,marker_directed,b1024,s02,2,192,64,,,,0.37882891297340393,0.845241904258728,0.5363947749137878,0.6168792247772217,0.5065250396728516,0.845241904258728,320,,,3,,0.6,0.4,0.6326427463279569,0.4011034437776494,0.5952328967330366,0.9051008785803697,1.1964343741386867,1.3622706565953164,1.7872155464054889,0.6326427463279569,1.3677314300199768,,,,,0.0,0.0007717299740761518,4.009275559103116,0.4927388259675354,0.0,0.0,4.504152287030593
marker_directed_b1024_s02,marker_directed,b1024,s02,3,256,64,,,,0.03918343409895897,1.0,0.053467944264411926,0.08695550262928009,0.050608888268470764,1.0,320,,,3,,0.6,0.4,0.7404082237276645,0.3755265427920626,0.5397059449368846,7.42506677571961,1.0828127813679693,1.192573430164041,8.479503105739093,0.7404082237276645,1.42847115227117,,,,,0.0,0.0007902459474280477,4.030699206981808,0.4941246039234102,0.0,0.0,4.527488621068187
marker_directed_b1024_s02,marker_directed,b1024,s02,4,320,64,,,,0.3669177293777466,0.9360964298248291,0.5131115317344666,0.6088404655456543,0.4867274761199951,0.9360964298248291,320,,,3,,0.6,0.4,0.498989587081359,0.326325353334206,0.4675452630344439,0.7104677693000383,0.9340548310404146,1.0288617157041424,1.3809155794087284,0.498989587081359,1.0705278468277148,,,,,0.0,0.0008007469587028027,4.029845607932657,0.5132089559920132,0.0,0.0,4.5458936099894345
marker_directed_b1024_s02,marker_directed,b1024,s02,5,384,64,,,,0.10876268893480301,1.0,0.14885066449642181,0.17742323875427246,0.13915228843688965,1.0,320,,,3,,0.6,0.4,0.4832041411649266,0.3128159971666862,0.4437595793767492,2.124689410235401,0.8861538235911816,0.9565867281955786,3.0117543276813104,0.4832041411649266,1.000507721949059,,,,,0.0,0.0008175200782716274,4.044238853966817,0.5133103869156912,0.0,0.0,4.56032318493817
marker_directed_b1024_s02,marker_directed,b1024,s02,6,448,64,,,,0.3541915714740753,0.9470823407173157,0.48910003900527954,0.5827869176864624,0.4726375937461853,0.9470823407173157,320,,,3,,0.6,0.4,0.4526055006166243,0.2962109487072706,0.42552236816762606,0.6322799334810225,0.8363229961617978,0.8937974220495059,1.2025506043316778,0.4526055006166243,0.9212361235042541,,,,,0.0,0.0008180090226233006,4.054264820995741,0.5330474560614675,0.0,0.0,4.590649529010989
marker_directed_b1024_s02,marker_directed,b1024,s02,7,512,64,,,,0.3095448315143585,0.8522505164146423,0.41990578174591064,0.4861498773097992,0.3993268311023712,0.8522505164146423,320,,,3,,0.6,0.4,0.4248119156910737,0.2803770868478296,0.40690922860911627,0.7223021913753308,0.8031315785619559,0.852397095359477,1.2309931584248592,0.4248119156910737,0.8766305359406489,,,,,0.0,0.0007912289584055543,4.029668556060642,0.5412024490069598,0.0,0.0,4.57432349503506
marker_directed_b1024_s02,marker_directed,b1024,s02,8,576,64,,,,0.23254939913749695,1.0,0.32196301221847534,0.37836962938308716,0.3031729459762573,1.0,320,,,3,,0.6,0.4,0.41600577819757045,0.2770895339198907,0.39254414308089447,0.8624812847698936,0.7683775413484173,0.8145349000419182,1.3259459274476755,0.41600577819757045,0.8431609676474776,,,,,0.0,0.0007811069954186678,3.9816321179969236,0.5520420719403774,0.0,0.0,4.537577725015581
marker_directed_b1024_s02,marker_directed,b1024,s02,9,640,64,,,,0.35625970363616943,0.7856239676475525,0.4903002083301544,0.5645296573638916,0.46161872148513794,0.7856239676475525,320,,,3,,0.6,0.4,0.40225196369355287,0.2661376142347595,0.376597695599716,0.5489567097504952,0.7391197115868041,0.7803856886980937,1.1002459329492253,0.40225196369355287,0.8013759559391442,,,,,0.0,0.0008119839476421475,3.9808456000173464,0.5476298980647698,0.0,0.0,4.532114229979925
