run_id,method,budget,seed_label,round_idx,train_size_before,selected_count,disagreement_metric,mean_disagreement,max_disagreement,mean_score,max_score,p90_score,selected_mean_score,selected_min_score,selected_max_score,preselect_size,eval_mse,eval_rmse,marker_pca_components,hybrid_marker_pca_components,marker_diversity_weight,marker_sparsity_weight,mean_selected_to_train_distance,mean_marker_diversity,p90_marker_diversity,max_marker_diversity,mean_marker_sparsity,p90_marker_sparsity,max_marker_sparsity,mean_selected_marker_diversity,mean_selected_marker_sparsity,mean_selected_hybrid_diversity,mean_selected_hybrid_sparsity,mean_selected_hybrid_uncertainty,mean_selected_hybrid_score,train_seconds,candidate_generation_seconds,candidate_simulation_seconds,acquisition_seconds,selected_simulation_seconds,eval_seconds,round_seconds
marker_directed_b1024_s02,marker_directed,b1024,s02,0,64,64,,,,0.21505968272686005,0.8838707208633423,0.37903618812561035,0.6636451482772827,0.39115673303604126,0.8838707208633423,192,,,3,,0.6,0.4,1.9635235752984683,0.7313990890402234,1.2864926879871632,2.8265964521343654,2.1334238212012138,3.0697066167999627,6.573521691658965,1.9635235752984683,4.570845356742868,,,,,0.0,0.0007584149716421962,4.083412369014695,0.41506255499552935,0.0,0.0,4.500460412004031
marker_directed_b1024_s02,marker_directed,b1024,s02,1,128,64,,,,0.3663960099220276,0.8782816529273987,0.5806272625923157,0.7062418460845947,0.61579430103302,0.8782816529273987,192,,,3,,0.6,0.4,1.013625165675489,0.4895810550510499,0.8031753766781445,1.2372085574855642,1.4356386828648942,1.8492357271726323,2.8612386108040937,1.013625165675489,1.860089032817621,,,,,0.0,0.0008060109103098512,3.999640546971932,0.4091230439953506,0.0,0.0,4.410996924038045
marker_directed_b1024_s02,marker_directed,b1024,s02,2,192,64,,,,0.28526216745376587,1.0,0.4027716815471649,0.5379564762115479,0.4083913266658783,1.0,192,,,4,,0.6,0.4,1.1897001483323264,0.587365171508746,0.9094043943680684,2.101906961891245,1.5337560914053845,1.8247476815353783,3.115551302697288,1.1897001483323264,1.9767041199986441,,,,,0.0,0.0007917879847809672,3.966601228923537,0.42038565198890865,0.0,0.0,4.389348305994645
marker_directed_b1024_s02,marker_directed,b1024,s02,3,256,64,,,,0.05476128309965134,1.0,0.07273831218481064,0.11243561655282974,0.07385056465864182,1.0,192,,,4,,0.6,0.4,1.0509386630935638,0.5274580330715866,0.7573805539917633,8.874339772611226,1.350868266436811,1.5481085878924565,10.461250623723348,1.0509386630935638,1.8832410638152535,,,,,0.0,0.0007676719687879086,3.9735631770454347,0.43056631402578205,0.0,0.0,4.406377719016746
marker_directed_b1024_s02,marker_directed,b1024,s02,4,320,64,,,,0.44506096839904785,0.9048769474029541,0.6129885315895081,0.7349115610122681,0.622860312461853,0.9048769474029541,192,,,3,,0.6,0.4,0.5865808123530231,0.35214923257457453,0.5205605607168612,0.7292283806921123,0.9402035689063282,1.1034945352869172,1.4830286317948076,0.5865808123530231,1.1502265453013112,,,,,0.0,0.0008514620130881667,3.9462544940179214,0.434741057921201,0.0,0.0,4.383973862044513
marker_directed_b1024_s02,marker_directed,b1024,s02,5,384,64,,,,0.12912729382514954,1.0,0.1754636913537979,0.214871346950531,0.1771605908870697,1.0,192,,,3,,0.6,0.4,0.5466169974581265,0.33109943302985445,0.4802898462828864,2.2422557624227712,0.8892329417263357,0.9994714867910064,3.0208438086829625,0.5466169974581265,1.0542896726326654,,,,,0.0,0.0008512650383636355,3.960595714044757,0.44465800700709224,0.0,0.0,4.407968805986457
marker_directed_b1024_s02,marker_directed,b1024,s02,6,448,64,,,,0.44951847195625305,0.9766173362731934,0.5957217812538147,0.6919962167739868,0.6078101396560669,0.9766173362731934,192,,,3,,0.6,0.4,0.4955565292130176,0.30554203719794504,0.4427427680820299,0.6184175434846392,0.8315834712784869,0.9166107428758666,1.2216734814235282,0.4955565292130176,0.918642247995451,,,,,0.0,0.0008232960244640708,3.962915143929422,0.44870510103646666,0.0,0.0,4.414361682953313
marker_directed_b1024_s02,marker_directed,b1024,s02,7,512,64,,,,0.3620486259460449,0.993736207485199,0.4840969741344452,0.5921816825866699,0.4921829104423523,0.993736207485199,192,,,3,,0.6,0.4,0.4745440304012375,0.2896699799184829,0.41768778843237125,0.6923982388984873,0.7984653249080615,0.8693253574420025,1.2668710175154747,0.4745440304012375,0.906880447034303,,,,,0.0,0.0008512370986863971,3.9579888930311427,0.46738557191565633,0.0,0.0,4.428868300979957
marker_directed_b1024_s02,marker_directed,b1024,s02,8,576,64,,,,0.2643004059791565,1.0,0.3479485511779785,0.41637200117111206,0.35113784670829773,1.0,192,,,3,,0.6,0.4,0.4460914546198481,0.2791967705388957,0.39901369780927964,1.0082705002062389,0.763262337726452,0.8227871422859777,1.3321804254273064,0.4460914546198481,0.8619983656034589,,,,,0.0,0.0007888500113040209,3.966592815006152,0.46978978102561086,0.0,0.0,4.439677070011385
marker_directed_b1024_s02,marker_directed,b1024,s02,9,640,64,,,,0.40803390741348267,0.8895155191421509,0.539376974105835,0.6397761106491089,0.5466692447662354,0.8895155191421509,192,,,3,,0.6,0.4,0.444612303183608,0.27134376013648565,0.3847417876783188,0.5735701746970984,0.7352576876584597,0.7915913802972783,1.0956311474965843,0.444612303183608,0.7969135861886254,,,,,0.0,0.0008231810061261058,3.950651623075828,0.4862805469892919,0.0,0.0,4.440327133983374
marker_directed_b1024_s02,marker_directed,b1024,s02,10,704,64,,,,0.38758960366249084,0.8555198907852173,0.5131034255027771,0.5984635949134827,0.5258151292800903,0.8555198907852173,192,,,3,,0.6,0.4,0.41225314839511623,0.261026971613899,0.36980371366953596,0.548394050236277,0.7178458838717665,0.7709994169668672,1.18967886152952,0.41225314839511623,0.7856129681953669,,,,,0.0,0.0008104679873213172,3.9750423340592533,0.49482841696590185,0.0,0.0,4.473654355038889
marker_directed_b1024_s02,marker_directed,b1024,s02,11,768,64,,,,0.29626020789146423,1.0,0.39818087220191956,0.4859432578086853,0.4034828841686249,1.0,192,,,3,,0.6,0.4,0.40528132974753367,0.25636905469111815,0.3639416761580944,0.7004338291289075,0.6986147998439147,0.7543897825328589,1.2692281788355508,0.40528132974753367,0.8050859870116885,,,,,0.0,0.0008167499909177423,3.9625295230653137,0.504474897054024,0.0,0.0,4.4713835689472035
marker_directed_b1024_s02,marker_directed,b1024,s02,12,832,64,,,,0.40889471769332886,0.9473493099212646,0.5480296611785889,0.6505274772644043,0.5588418245315552,0.9473493099212646,192,,,3,,0.6,0.4,0.3991215093712321,0.24593676042733723,0.35042884842251143,0.481393174347142,0.6788054849820234,0.7290481779520899,1.0615796473783197,0.3991215093712321,0.7339998331429589,,,,,0.0,0.0008547269972041249,3.9403888969682157,0.5165243790252134,0.0,0.0,4.461492466041818
marker_directed_b1024_s02,marker_directed,b1024,s02,13,896,64,,,,0.3503710627555847,0.9195762872695923,0.4794802665710449,0.5864464044570923,0.49555402994155884,0.9195762872695923,192,,,3,,0.6,0.4,0.3809506039693876,0.24298271571013838,0.34341649619408576,0.5283357313838057,0.6610837019756912,0.7143195327437116,1.0397766332335245,0.3809506039693876,0.7474619769249076,,,,,0.0,0.0008141180733218789,3.970719077042304,0.5293599349679425,0.0,0.0,4.504886036971584
marker_directed_b1024_s02,marker_directed,b1024,s02,14,960,64,,,,0.3496797978878021,0.9533137083053589,0.47614800930023193,0.5816630125045776,0.4967532157897949,0.9533137083053589,192,5.847592183272354e-05,0.0076469550693543074,3,,0.6,0.4,0.37454742211744885,0.2371580848467854,0.3311804180066047,0.4971859004843362,0.6463689588717559,0.6924008112123641,1.0480509778543858,0.37454742211744885,0.7200714801419208,,,,,19.541907251928933,0.0008142460137605667,4.001992334029637,0.5566100520081818,0.0,0.024038792005740106,24.13008060399443
