run_id,method,budget,seed_label,round_idx,train_size_before,selected_count,disagreement_metric,mean_disagreement,max_disagreement,mean_score,max_score,p90_score,selected_mean_score,selected_min_score,selected_max_score,preselect_size,eval_mse,eval_rmse,marker_pca_components,hybrid_marker_pca_components,marker_diversity_weight,marker_sparsity_weight,mean_selected_to_train_distance,mean_marker_diversity,p90_marker_diversity,max_marker_diversity,mean_marker_sparsity,p90_marker_sparsity,max_marker_sparsity,mean_selected_marker_diversity,mean_selected_marker_sparsity,mean_selected_hybrid_diversity,mean_selected_hybrid_sparsity,mean_selected_hybrid_uncertainty,mean_selected_hybrid_score,train_seconds,candidate_generation_seconds,candidate_simulation_seconds,acquisition_seconds,selected_simulation_seconds,eval_seconds,round_seconds
marker_directed_b4096_s03,marker_directed,b4096,s03,0,128,128,,,,0.21763940155506134,1.0,0.355612576007843,0.5319973230361938,0.41848433017730713,1.0,384,,,4,,0.6,0.4,1.5455643397834917,0.6736565173501211,1.082369725255314,2.7829899610987954,1.3811292396135095,1.9224178744303304,4.275309095698001,1.5455643397834917,2.496599263928167,,,,,0.0,0.001868596998974681,22.56123104505241,2.013242752989754,0.0,0.0,24.57863433996681
marker_directed_b4096_s03,marker_directed,b4096,s03,1,256,128,,,,0.3758801221847534,0.9065505266189575,0.5607889890670776,0.7034226655960083,0.6146748065948486,0.9065505266189575,384,,,4,,0.6,0.4,0.9200158843624583,0.49486097297508663,0.7477740064902638,1.2051065497779911,0.9889495075159263,1.2219914748129401,1.7431929251385019,0.9200158843624583,1.3067887152531266,,,,,0.0,0.001692489953711629,22.287469340953976,2.0120414410484955,0.0,0.0,24.304075340973213
marker_directed_b4096_s03,marker_directed,b4096,s03,2,384,128,,,,0.35181838274002075,0.9427438974380493,0.48276016116142273,0.5790959596633911,0.5231714844703674,0.9427438974380493,384,,,4,,0.6,0.4,0.7536615150568933,0.44750041426005827,0.6468212346671235,1.1600160548624552,0.897222806947203,1.0349200089869768,1.7324558399760843,0.7536615150568933,1.0972844794568468,,,,,0.0,0.0017808000557124615,22.30241274391301,2.0408855319255963,0.0,0.0,24.348232413060032
marker_directed_b4096_s03,marker_directed,b4096,s03,3,512,128,,,,0.059567734599113464,1.0,0.07911357283592224,0.09949447959661484,0.08472989499568939,1.0,384,,,4,,0.6,0.4,0.6916408215285089,0.41070105078341984,0.5774362235558337,6.0202380156145905,0.8243392630072803,0.9280043526355417,6.942108576836998,0.6916408215285089,1.0152124605429558,,,,,0.0,0.0017736710142344236,22.29595291498117,2.070657211006619,0.0,0.0,24.372029892983846
marker_directed_b4096_s03,marker_directed,b4096,s03,4,640,128,,,,0.3638143539428711,1.0,0.4845103621482849,0.5921211242675781,0.5254115462303162,1.0,384,,,4,,0.6,0.4,0.6186844142696483,0.38180120720792754,0.5279017888487428,0.8373412716696742,0.7646807096504775,0.8437743055246623,1.4499693629187245,0.6186844142696483,0.886352703961594,,,,,0.0,0.001852119923569262,22.306976196938194,2.108460617950186,0.0,0.0,24.42155290802475
marker_directed_b4096_s03,marker_directed,b4096,s03,5,768,128,,,,0.21818672120571136,1.0,0.28616875410079956,0.34912776947021484,0.3067871928215027,1.0,384,,,4,,0.6,0.4,0.5804336123091912,0.36262522452139934,0.4984465738153961,1.2854748911534433,0.7295213242890433,0.7911985503933985,2.100718599404508,0.5804336123091912,0.8373056584053095,,,,,0.0,0.0018492270028218627,22.29857301490847,2.141633174964227,0.0,0.0,24.44671006302815
marker_directed_b4096_s03,marker_directed,b4096,s03,6,896,128,,,,0.39009326696395874,0.9717795848846436,0.5093017816543579,0.6134684085845947,0.5444204807281494,0.9717795848846436,384,,,4,,0.6,0.4,0.5421724245346979,0.3470336997614274,0.4768847811012956,0.7171565385509587,0.6920209965862191,0.7474084719912606,1.186021803013603,0.5421724245346979,0.7847475774925035,,,,,0.0,0.0018485630862414837,22.309788104961626,2.159449454047717,0.0,0.0,24.47609360795468
marker_directed_b4096_s03,marker_directed,b4096,s03,7,1024,128,,,,0.30955201387405396,1.0,0.4028675854206085,0.49823248386383057,0.4322540760040283,1.0,384,,,4,,0.6,0.4,0.5310617114441907,0.33633019374080286,0.4616828933511871,0.9182813116844333,0.6652214002469732,0.7195637558574822,1.1961950866207904,0.5310617114441907,0.7679979593527353,,,,,0.0,0.0018395609222352505,22.328408812987618,2.201531221042387,0.0,0.0,24.540013466961682
marker_directed_b4096_s03,marker_directed,b4096,s03,8,1152,128,,,,0.03268526494503021,1.0,0.043752942234277725,0.05858369916677475,0.04717249795794487,1.0,384,,,4,,0.6,0.4,0.5505827682629969,0.3254066170215192,0.44543249873749957,6.726365630221803,0.6462815599982754,0.69408568721444,11.578478694184334,0.5505827682629969,0.8054148045601384,,,,,0.0,0.0018322899704799056,22.316624691011384,2.2192921210080385,0.0,0.0,24.543506363988854
marker_directed_b4096_s03,marker_directed,b4096,s03,9,1280,128,,,,0.31982874870300293,1.0,0.4149627983570099,0.5041101574897766,0.4454215168952942,1.0,384,,,4,,0.6,0.4,0.4746069175938643,0.30988382976032425,0.42185425213275035,0.7901005443795974,0.6111784121836379,0.6606590070977931,1.1722409068779447,0.4746069175938643,0.7141914731205359,,,,,0.0,0.0018387350719422102,22.320649683009833,2.2577532769646496,0.0,0.0,24.59046935196966
