row_idx	cfg_id	method	preset	budget	seed	experiment_id	model_flag	skip_preprocess	skip_baseline	baseline_epochs	run_root	stage1_overrides	stage2_overrides	stage3_overrides
0	cfg_00000_0bb7219ebf	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00000_0bb7219ebf	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
1	cfg_00001_1ea24a32bd	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00001_1ea24a32bd	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
2	cfg_00002_e530604990	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00002_e530604990	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
3	cfg_00003_009e5d8e71	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00003_009e5d8e71	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
4	cfg_00004_87945ca465	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00004_87945ca465	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
5	cfg_00005_a57f8f63da	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00005_a57f8f63da	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
6	cfg_00006_681bf90f9f	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00006_681bf90f9f	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
7	cfg_00007_af52ee148a	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00007_af52ee148a	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
8	cfg_00008_62121bcacc	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00008_62121bcacc	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
9	cfg_00009_e09e4967f1	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157/runs/cfg_00009_e09e4967f1	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64;;qbc_n_test=256		
