run_id,method,budget,seed_label,round_idx,train_size_before,selected_count,disagreement_metric,mean_disagreement,max_disagreement,mean_score,max_score,p90_score,selected_mean_score,selected_min_score,selected_max_score,preselect_size,eval_mse,eval_rmse,marker_pca_components,hybrid_marker_pca_components,marker_diversity_weight,marker_sparsity_weight,mean_selected_to_train_distance,mean_marker_diversity,p90_marker_diversity,max_marker_diversity,mean_marker_sparsity,p90_marker_sparsity,max_marker_sparsity,mean_selected_marker_diversity,mean_selected_marker_sparsity,mean_selected_hybrid_diversity,mean_selected_hybrid_sparsity,mean_selected_hybrid_uncertainty,mean_selected_hybrid_score,train_seconds,candidate_generation_seconds,candidate_simulation_seconds,acquisition_seconds,selected_simulation_seconds,eval_seconds,round_seconds
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,0,128,128,member_l2_mean,0.9952363967895508,1.8673317432403564,0.9952363967895508,1.8673317432403564,1.269088864326477,1.4162648916244507,1.1415828466415405,1.8673317432403564,,0.0013907474931329489,0.03729272708093294,,,,,,,,,,,,,,,,,,6.476712426054291,0.001313258078880608,0.0,0.992961278068833,0.2762713939882815,0.031962217995896935,7.912772379000671
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,1,256,128,member_l2_mean,0.6810085773468018,1.0013978481292725,0.6810085773468018,1.0013978481292725,0.8097342252731323,0.8593096137046814,0.7729324102401733,1.0013978481292725,,0.000421724165789783,0.02053592378710495,,,,,,,,,,,,,,,,,,8.056490956922062,0.0012333319755271077,0.0,0.9887005969649181,0.27557789999991655,0.04180443496443331,9.519428206025623
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,2,384,128,member_l2_mean,0.7825242877006531,1.4419080018997192,0.7825242877006531,1.4419080018997192,1.122822642326355,1.1919233798980713,1.0374631881713867,1.4419080018997192,,0.00021899957209825516,0.014798634129481516,,,,,,,,,,,,,,,,,,12.088437073049136,0.001244276063516736,0.0,1.119054529001005,0.2827793890610337,0.03291845100466162,13.658116997918114
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,3,512,128,member_l2_mean,0.439805805683136,0.7425872087478638,0.439805805683136,0.7425872087478638,0.53982013463974,0.5617767572402954,0.5106028318405151,0.7425872087478638,,0.00011612186790443957,0.010775985704539496,,,,,,,,,,,,,,,,,,16.0880517460173,0.0012629940174520016,0.0,0.9938478100812063,0.2780472820159048,0.04013886698521674,17.535263604018837
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,4,640,128,member_l2_mean,0.4942118525505066,0.6792963147163391,0.4942118525505066,0.6792963147163391,0.5664016604423523,0.6001865863800049,0.5428844690322876,0.6792963147163391,,9.474479884374887e-05,0.009733693997848344,,,,,,,,,,,,,,,,,,20.12397205492016,0.0012198580661788583,0.0,0.9832400931045413,0.2894176549743861,0.03962170600425452,21.571839404059574
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,5,768,128,member_l2_mean,0.38633960485458374,0.5523749589920044,0.38633960485458374,0.5523749589920044,0.4654507637023926,0.49679049849510193,0.4389631748199463,0.5523749589920044,,5.4285603255266324e-05,0.00736787644136805,,,,,,,,,,,,,,,,,,24.25413664500229,0.0012168560642749071,0.0,0.9916659260634333,0.2680589839583263,0.03777670790441334,25.690300615970045
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,6,896,128,member_l2_mean,0.38703882694244385,0.6150320172309875,0.38703882694244385,0.6150320172309875,0.4686318635940552,0.5160952806472778,0.43610668182373047,0.6150320172309875,,5.881824472453445e-05,0.007669305361278455,,,,,,,,,,,,,,,,,,28.289027062011883,0.001297591021284461,0.0,0.987808465026319,0.2706240538973361,0.035585705074481666,29.71972516097594
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,7,1024,128,member_l2_mean,0.33745408058166504,0.5287277698516846,0.33745408058166504,0.5287277698516846,0.43442443013191223,0.46414920687675476,0.40877532958984375,0.5287277698516846,,3.177743928972632e-05,0.005637148152188864,,,,,,,,,,,,,,,,,,32.380920476978645,0.001202641986310482,0.0,0.9870829760329798,0.2762455709744245,0.1699518950190395,33.95097674499266
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,8,1152,128,member_l2_mean,0.44629132747650146,0.6135208010673523,0.44629132747650146,0.6135208010673523,0.530584454536438,0.5548975467681885,0.5118746757507324,0.6135208010673523,,2.8335234674159437e-05,0.005323085071099225,,,,,,,,,,,,,,,,,,36.37717311596498,0.0009014590177685022,0.0,0.987263519084081,0.26850909600034356,0.035492701921612024,37.80728283303324
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,9,1280,128,member_l2_mean,0.3699907660484314,0.5338588356971741,0.3699907660484314,0.5338588356971741,0.44226357340812683,0.47639888525009155,0.4039817452430725,0.5338588356971741,,2.254313585581258e-05,0.004747961231498482,,,,,,,,,,,,,,,,,,40.07880031503737,0.0011413550237193704,0.0,0.9897866629762575,0.2786860129563138,0.03644490905571729,41.55049368401524
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,10,1408,128,member_l2_mean,0.2927781343460083,0.5461629629135132,0.2927781343460083,0.5461629629135132,0.344765841960907,0.3712051808834076,0.320881724357605,0.5461629629135132,,2.1287996787577868e-05,0.00461389171823287,,,,,,,,,,,,,,,,,,43.80888851999771,0.0011595221003517509,0.0,0.9781904340488836,0.2841902090003714,0.03132844599895179,45.2410011269385
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,11,1536,128,member_l2_mean,0.4608219861984253,0.5827938914299011,0.4608219861984253,0.5827938914299011,0.5102987885475159,0.5259017944335938,0.4992596507072449,0.5827938914299011,,2.0798594050575048e-05,0.004560547560389547,,,,,,,,,,,,,,,,,,47.328065571025945,0.0011294600553810596,0.0,0.951096092001535,0.26614745997358114,0.03324934106785804,48.71982197498437
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,12,1664,128,member_l2_mean,0.3404262065887451,0.4385228157043457,0.3404262065887451,0.4385228157043457,0.3820353150367737,0.39909347891807556,0.37165647745132446,0.4385228157043457,,1.691048419161234e-05,0.004112235911473507,,,,,,,,,,,,,,,,,,50.8720947469119,0.0011707210214808583,0.0,0.9842065069824457,0.2625616140430793,0.03289289795793593,52.2913511529332
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,13,1792,128,member_l2_mean,0.3904518485069275,0.520256519317627,0.3904518485069275,0.520256519317627,0.44135782122612,0.45932042598724365,0.42846712470054626,0.520256519317627,,2.3149612388806418e-05,0.004811404409193475,,,,,,,,,,,,,,,,,,55.34724308701698,0.0011607779888436198,0.0,0.9746317679528147,0.24714864103589207,0.032284302986226976,56.73993054404855
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,14,1920,128,member_l2_mean,0.39322778582572937,0.5140610933303833,0.39322778582572937,0.5140610933303833,0.4528149962425232,0.46935921907424927,0.43230924010276794,0.5140610933303833,,1.5590141629218124e-05,0.003948435339374082,,,,,,,,,,,,,,,,,,59.24645151302684,0.0008269120007753372,0.0,1.1162348970538005,0.2759887910215184,0.033115372993052006,60.811594735016115
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,15,2048,128,member_l2_mean,0.43126529455184937,0.6078890562057495,0.43126529455184937,0.6078890562057495,0.5270509123802185,0.5545157790184021,0.5076342821121216,0.6078890562057495,,1.785941822163295e-05,0.004226040489824127,,,,,,,,,,,,,,,,,,63.074960355996154,0.0011285450309515,0.0,0.9839082610560581,0.29285772901494056,0.034695317037403584,64.53205792699009
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,16,2176,128,member_l2_mean,0.2904643714427948,0.5645729303359985,0.2904643714427948,0.5645729303359985,0.3444848656654358,0.3806312084197998,0.3205104470252991,0.5645729303359985,,2.4850649424479343e-05,0.004985042569976644,,,,,,,,,,,,,,,,,,67.04834988305811,0.0011870189337059855,0.0,0.9838077989406884,0.28326398704666644,0.03465329599566758,68.52621549193282
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,17,2304,128,member_l2_mean,0.3022748529911041,0.5091630220413208,0.3022748529911041,0.5091630220413208,0.39872419834136963,0.42227500677108765,0.37072524428367615,0.5091630220413208,,1.095589414035203e-05,0.0033099689032303654,,,,,,,,,,,,,,,,,,70.78551207308192,0.0011547449976205826,0.0,0.9725567019777372,0.28597989003174007,0.03078380401711911,72.22275302698836
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,18,2432,128,member_l2_mean,0.4289129078388214,0.6046796441078186,0.4289129078388214,0.6046796441078186,0.4831978678703308,0.5052832365036011,0.4665910601615906,0.6046796441078186,,2.0074628992006183e-05,0.004480471960854814,,,,,,,,,,,,,,,,,,74.5679625349585,0.0011553389485925436,0.0,0.9745056449901313,0.28242294397205114,0.031730351969599724,76.00663260999136
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,19,2560,128,member_l2_mean,0.40581926703453064,0.6331217885017395,0.40581926703453064,0.6331217885017395,0.5122162699699402,0.5449857115745544,0.4799560606479645,0.6331217885017395,,2.060979932139162e-05,0.004539801683046477,,,,,,,,,,,,,,,,,,78.62714197905734,0.0011666360078379512,0.0,1.097952549927868,0.26769949204754084,0.030630052904598415,80.17199057992548
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,20,2688,128,member_l2_mean,0.34400245547294617,0.5635668635368347,0.34400245547294617,0.5635668635368347,0.4280286729335785,0.4501984715461731,0.40645164251327515,0.5635668635368347,,1.0955245670629665e-05,0.0033098709447091233,,,,,,,,,,,,,,,,,,81.43283264001366,0.0011153379455208778,0.0,0.9846893920330331,0.2700640290277079,0.041355835972353816,82.87784049403854
