budget,method,id_mse_mean,id_mse_sem,id_rmse_mean,id_rmse_sem,id_mae_mean,id_mae_sem,id_max_abs_error_mean,id_max_abs_error_sem,id_trajectory_mse_mean_mean,id_trajectory_mse_mean_sem,id_trajectory_mse_p90_mean,id_trajectory_mse_p90_sem,id_trajectory_mse_p95_mean,id_trajectory_mse_p95_sem,id_trajectory_mse_max_mean,id_trajectory_mse_max_sem,id_trajectory_rmse_mean_mean,id_trajectory_rmse_mean_sem,id_trajectory_rmse_p90_mean,id_trajectory_rmse_p90_sem,id_trajectory_rmse_p95_mean,id_trajectory_rmse_p95_sem,id_trajectory_rmse_max_mean,id_trajectory_rmse_max_sem,id_trajectory_max_abs_error_mean_mean,id_trajectory_max_abs_error_mean_sem,id_trajectory_max_abs_error_p95_mean,id_trajectory_max_abs_error_p95_sem,id_trajectory_max_abs_error_max_mean,id_trajectory_max_abs_error_max_sem,id_n_rows_mean,id_n_rows_sem,id_n_trajectories_mean,id_n_trajectories_sem,ood_mse_mean,ood_mse_sem,ood_rmse_mean,ood_rmse_sem,ood_mae_mean,ood_mae_sem,ood_max_abs_error_mean,ood_max_abs_error_sem,ood_trajectory_mse_mean_mean,ood_trajectory_mse_mean_sem,ood_trajectory_mse_p90_mean,ood_trajectory_mse_p90_sem,ood_trajectory_mse_p95_mean,ood_trajectory_mse_p95_sem,ood_trajectory_mse_max_mean,ood_trajectory_mse_max_sem,ood_trajectory_rmse_mean_mean,ood_trajectory_rmse_mean_sem,ood_trajectory_rmse_p90_mean,ood_trajectory_rmse_p90_sem,ood_trajectory_rmse_p95_mean,ood_trajectory_rmse_p95_sem,ood_trajectory_rmse_max_mean,ood_trajectory_rmse_max_sem,ood_trajectory_max_abs_error_mean_mean,ood_trajectory_max_abs_error_mean_sem,ood_trajectory_max_abs_error_p95_mean,ood_trajectory_max_abs_error_p95_sem,ood_trajectory_max_abs_error_max_mean,ood_trajectory_max_abs_error_max_sem,ood_n_rows_before_filter_mean,ood_n_rows_before_filter_sem,ood_n_trajectories_before_filter_mean,ood_n_trajectories_before_filter_sem,ood_n_rows_mean,ood_n_rows_sem,ood_n_trajectories_mean,ood_n_trajectories_sem,total_time_s_mean,total_time_s_sem,generation_time_s_mean,generation_time_s_sem,seeds
b256,lhs_static,6.5301444044189816e-06,1.072671899287339e-06,0.002538027426265563,0.00020381092014317274,0.001392105875662037,7.49314142152678e-05,0.10908357361239385,0.01122094691830322,6.530144404418981e-06,1.0726718992873391e-06,1.1626795702427201e-05,1.2320821638861305e-06,2.061966493931986e-05,2.6495340620460056e-06,0.0004747653369117405,0.00013618461393069458,0.002029913224822714,9.405877589945422e-05,0.0033936209947400386,0.0001705743388421783,0.004517963189412155,0.00027928560380818097,0.021007609540235523,0.0032250504137666075,0.010382831338241241,5.606676043006538e-05,0.026193393951584626,0.0004677896448278536,0.08400939179400997,0.013405199069260305,3279276.0,0.0,3276.0,0.0,0.02358875389162987,0.0017606557834012819,0.15317959200556902,0.005604269562116776,0.05045691876307989,0.0022496941576192345,1.691263404854859,0.04356716465568942,0.02358875389162987,0.0017606557834012819,0.07207732721181125,0.005664088172156206,0.14328916465540967,0.011360926205034249,0.6610010942601687,0.03211928978045094,0.07413157826019322,0.0029835164944287877,0.2673836865155526,0.010183212470224568,0.3772039595200741,0.01483201968757597,0.81153391960071,0.02027877966020196,0.17484633340334746,0.005071018350223631,0.7256098449878495,0.03284074326881241,1.691263404854859,0.04356716465568942,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,1294.3303319709814,11.745197116255941,13.912674666666666,9.084462115077082,"ds01,ds02,ds03"
b256,qbc_deep_ensemble,5.349997849431561e-06,6.156860767146407e-07,0.0023021288028669457,0.00013477269688512,0.0014711114504875472,0.00010248723590870698,0.054690532751843435,0.0025281923500260596,5.349997849431561e-06,6.156860767146409e-07,1.0233090760334419e-05,8.974780630713909e-07,1.4464357986117064e-05,1.1244659848074916e-06,0.00012168126213660192,3.600316929726518e-05,0.002110839305583781,0.00012748297776962904,0.003185116356888417,0.00013920365292154793,0.0037898613292181344,0.00014593183420399177,0.010624686181091081,0.001743657263519328,0.010342129226138171,0.00046304900540732107,0.022127432362908473,0.0009849115677411442,0.02805918201716595,0.005740123889091492,3279276.0,0.0,3276.0,0.0,0.02016616909969065,0.0013049711608874722,0.14154786588890986,0.0047839277800630535,0.045113323026333786,0.00172795848257569,1.6563812107122857,0.02944907092017432,0.020166169099690646,0.0013049711608874722,0.06206736302518875,0.0046273780381738214,0.12985561782862226,0.010682735854782953,0.5921195803279554,0.027654976179020768,0.06668543020941732,0.0023829213892079355,0.24825930925462425,0.0096202212973153,0.3591897898793837,0.01534891558854041,0.76710446394996,0.018876081764791997,0.16019997322306256,0.0036991157575309015,0.7076239203361432,0.02057837612175407,1.6563812107122857,0.02944907092017432,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,1316.9407829698487,13.858230850823148,32.264193666666664,6.579282118904067,"ds01,ds02,ds03"
b256,marker_directed,6.132513102337295e-06,7.447492794637839e-07,0.00246577515295463,0.00014534911906247515,0.0014448626018735515,6.290570455229099e-05,0.08788568345186837,0.006626342187613676,6.132513102337293e-06,7.447492794637839e-07,1.0755763826835423e-05,5.271564648774569e-07,1.6562954491455978e-05,8.238939357682767e-07,0.00042185752938796254,0.0001814297392479567,0.002111127129157737,7.463781223395991e-05,0.0032763923532027344,8.000214269888852e-05,0.004063967798587109,9.970233767425945e-05,0.019115376802851053,0.003920384642855482,0.011138646976091378,0.0007600109425606221,0.025084664330820697,0.0017159034187909858,0.045899993547655706,0.006971861641007581,3279276.0,0.0,3276.0,0.0,0.02483061939009906,0.0005172777565379117,0.15710350021869104,0.0018183924840455856,0.05188809647250878,0.0006531911125003031,1.7656039535918886,0.009617463602899251,0.02483061939009906,0.0005172777565379108,0.0765997941723503,0.0028065588443235124,0.1566579204426424,0.00565377938676719,0.7106996235491999,0.008675881991926777,0.07512261715489159,0.0010484766571423599,0.27553068980393985,0.005438175951821253,0.39482714641867994,0.007412948506375394,0.8401605592403968,0.0036479535202650097,0.17134862097881168,0.0016962442398363094,0.7630622919660924,0.011197302734738315,1.7656039535918886,0.009617463602899251,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,1370.6911974485054,13.726960109947113,22.494956666666667,7.427172573988778,"ds01,ds02,ds03"
b512,lhs_static,2.530086885841085e-06,1.9150954313989774e-07,0.001586661307435625,6.153040058936448e-05,0.0009068293691249968,1.8124890746655358e-05,0.08258907522345288,0.008037069938906941,2.5300868858410854e-06,1.9150954313989796e-07,4.449910115862978e-06,3.0474349682510114e-07,7.36689641370281e-06,7.079796349014041e-07,0.00026863025644240746,0.0001111933125909107,0.0013437555183375873,3.084066144594136e-05,0.0021057775721489793,7.310018113988463e-05,0.002704953444790267,0.00013006620328417289,0.014982551348422612,0.003142001093490794,0.008017662104726039,0.00010365811394455444,0.021431811990713076,0.000675581487750538,0.04229174315531196,0.006850037772763861,3279276.0,0.0,3276.0,0.0,0.021222444678048704,0.0012026204737218462,0.14539908752547379,0.004279788888773942,0.045801763881534986,0.0009149720374897524,1.712647533507788,0.03995967971216852,0.021222444678048704,0.001202620473721847,0.06269273089943851,0.004670470504198312,0.12872046493955408,0.009105965873116559,0.6894921727122698,0.014107264300794715,0.06805829907907142,0.002076224976271694,0.24982431373361166,0.00959234206079864,0.3579816621300968,0.012976892123742586,0.8284770392796809,0.00984670296319595,0.1673639178242755,0.0067377239743271105,0.6895908988480203,0.022739054333126275,1.712647533507788,0.03995967971216852,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,2776.2561395243315,257.8809110057053,20.795958,12.426091748744549,"ds01,ds02,ds03"
b512,qbc_deep_ensemble,2.0324806673054806e-06,2.6900108134331504e-07,0.0014190824933618966,9.202447178728079e-05,0.0009042302524615238,6.008990061959478e-05,0.05615616774528078,0.011367629223558055,2.03248066730548e-06,2.6900108134331494e-07,3.6218513287346724e-06,4.909309596379059e-07,4.718897012977242e-06,7.045473400962985e-07,4.6359207442348185e-05,1.927193436120434e-05,0.0013321759491771838,7.28978621422316e-05,0.0018930149054056996,0.00012616686384609458,0.0021584567433754,0.00015737441557593413,0.006453388919884696,0.0013794831603218959,0.007205993588622973,0.0003397369501032451,0.015206759226820916,0.0008586158288444162,0.033869889907326776,0.018368201792747486,3279276.0,0.0,3276.0,0.0,0.01921681190776778,0.00035890994706210596,0.13832150437113222,0.001300591401624536,0.042875810286568276,0.0006155921862010876,1.5744002731888618,0.03690936469760833,0.01921681190776778,0.00035890994706210596,0.056988164353114434,0.001961401783680998,0.12068223750793615,0.003907580176335082,0.585615290391685,0.018051643231000163,0.06343157435461072,0.0008127580360263132,0.23801794745794258,0.0043714383832569766,0.34636845267212696,0.005811428694680224,0.7625036142168614,0.012741286698750614,0.15183097853284686,0.0007041058522266976,0.6781131091321516,0.008772224969365503,1.5744002731888618,0.03690936469760833,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,3457.789015009499,19.540635205220063,79.89372333333334,16.603930251229333,"ds01,ds02,ds03"
b512,marker_directed,2.3152756511892733e-06,8.116788598488651e-08,0.0015200715121930298,2.6399628364908218e-05,0.000937837966862499,1.8823408821739217e-05,0.05697647829289365,0.007515853066386772,2.3152756511892733e-06,8.116788598488638e-08,4.439431678922253e-06,2.156208737271585e-07,6.298588272138993e-06,2.5257841609228363e-07,9.022630562067727e-05,2.3041291827366307e-05,0.0013788058845769517,1.8592612801310683e-05,0.0021047275149336775,5.1687561692944335e-05,0.002507273010307212,5.057603936367374e-05,0.009144577257001362,0.001232538008685262,0.0075888819180127826,3.23619870196926e-05,0.016206316224384263,0.0003804350706482244,0.027056002654768634,0.0021782158171386864,3279276.0,0.0,3276.0,0.0,0.022777974920803606,0.0004247767407676293,0.15083049820284536,0.0014258697421467,0.048312857954364186,0.0006911754239192634,1.7299677344444333,0.018069020333819415,0.022777974920803606,0.000424776740767629,0.07147692230034695,0.002483832785068502,0.14511564225354354,0.003672521048584217,0.6555559948734052,0.004119843191915053,0.07031272015122046,0.0009060630928930155,0.26696806062118544,0.0047357409697890715,0.38068979107887185,0.004871723577420434,0.809484604721275,0.0025633510549567134,0.16466148150185386,0.003461831953351123,0.7314807834259618,0.01647991038245454,1.7299677344444333,0.018069020333819415,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,2584.2301825331706,37.80987524718057,29.639817333333337,0.737314880702118,"ds01,ds02,ds03"
b1024,lhs_static,1.273212041213457e-06,5.603558295786668e-08,0.0011266291919565922,2.501472463343698e-05,0.0006604941388726683,8.64869920910982e-06,0.06370785293772695,0.002400348080247129,1.273212041213457e-06,5.603558295786653e-08,2.2478295861160218e-06,4.360882914785622e-08,3.359541632060228e-06,7.043987167375606e-08,0.00011145307493789628,5.301814948384345e-05,0.000994073366524199,6.572723608050557e-06,0.0014985906953155807,1.4494546430417462e-05,0.001831029473810398,1.8307346898047854e-05,0.009925463700853471,0.0024549843491965917,0.006303921673645148,0.00028607240346806534,0.016306985610444275,0.0009593928135810296,0.03400269506648638,0.0030292298470933586,3279276.0,0.0,3276.0,0.0,0.01958631314517432,2.8322927312492372e-05,0.13993631689859165,0.00010938768375105965,0.042988474407827125,0.00046064982456997755,1.6408463411569991,0.04277786841439235,0.01958631314517432,2.8322927312492372e-05,0.05517185626588947,0.0015972915913706062,0.1201775150958954,0.003396615998787143,0.6430901354082984,0.04011355253768234,0.0636859177068621,0.0004415150054159947,0.23476683672749812,0.003393693234791139,0.34654580562143167,0.004920738907895458,0.8007932519286207,0.025477158950030714,0.15765411168973215,0.002210836483726199,0.6653263064297684,0.0063593116166084296,1.624753039279484,0.05817045920103991,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,5037.669907098174,3.376842717355531,16.837924,7.849911678063731,"ds01,ds02,ds03"
b1024,qbc_deep_ensemble,1.08999628945681e-06,5.063161467066468e-08,0.0010427487854198522,2.5017665028930953e-05,0.0006708532392476792,1.886050942932378e-05,0.03965592060350104,0.004869075972312638,1.0899962894568103e-06,5.063161467066473e-08,1.8619570875964948e-06,6.588912682398144e-08,2.2951251090033553e-06,9.519610630374768e-08,8.120173829233575e-06,1.5053057126289336e-06,0.0010046591934539135,2.7229520691330936e-05,0.0013626440137283291,2.5350695607582795e-05,0.0015129220112582095,3.2221089771910265e-05,0.002825720745200574,0.0002565802634422272,0.005775327367653623,0.0003956541694438317,0.012001398267537287,0.0009558168946073381,0.014559645342665212,0.003827079861431084,3279276.0,0.0,3276.0,0.0,0.020656818666706402,0.0014742261204813963,0.1435265185701492,0.0052244385494003,0.04317976544124424,0.001924593838526797,1.690408772028882,0.04729895115449215,0.020656818666706402,0.0014742261204813963,0.06129836825646085,0.0056678714753512485,0.13382138208961805,0.010332435840535446,0.6429713445571431,0.028373269153218913,0.06481211334278088,0.002682217792295542,0.2470182034532061,0.01172479070263209,0.365208188298457,0.014404725129222258,0.8013525686932859,0.01781395933985344,0.1542418850993036,0.0030951939616161764,0.6944525713016586,0.018823047639818388,1.690408772028882,0.04729895115449215,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,4609.3107166301215,26.12946711167888,169.14377666666667,1.5409805072807077,"ds01,ds02,ds03"
b1024,marker_directed,1.219877614676133e-06,3.6471426259309065e-08,0.0011040594945186037,1.6482432616232814e-05,0.0006756126212183597,3.4847220213704795e-06,0.03841659237230893,0.002716777849888537,1.219877614676133e-06,3.6471426259309065e-08,2.314344494360699e-06,9.432380513062533e-08,3.2278158305017733e-06,1.595400641115905e-07,2.2961077503009364e-05,3.215753814772691e-06,0.001023657714606038,9.951350711663446e-06,0.0015202451248410057,3.101719117639857e-05,0.0017947107907817965,4.4377253103225504e-05,0.004756043735567852,0.000329472975055431,0.0061668308954584625,0.00020472335565318003,0.013154321719305173,0.00026288463401181696,0.022314877401305642,0.0019519364543745255,3279276.0,0.0,3276.0,0.0,0.02260673874409735,0.00027159058119995914,0.15016545921240876,0.0009626453250767751,0.04564302855163663,0.00039320276809961537,1.7344719071992618,0.028207557037465622,0.02260673874409735,0.00027159058119995914,0.06823125260313832,0.0017174124057034296,0.14124716183243727,0.0028009796626921844,0.6889176299753835,0.012168848098825114,0.06838874134629257,0.0002545195148031103,0.26055819440978173,0.0032961661247039803,0.37525598084265105,0.0034307043033187496,0.8298056831575389,0.007412634676933295,0.16137254666514986,0.002544914011123111,0.7112125403986123,0.01184389034102171,1.7344719071992618,0.028207557037465622,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,6465.308420548833,48.394369661349806,67.41042433333332,0.7118219357417344,"ds01,ds02,ds03"
b4096,lhs_static,6.213994989446896e-07,2.3660249244969914e-08,0.0007877099136261685,1.4948157101431824e-05,0.0004684326621948116,2.6954493469659476e-06,0.04432323831965244,0.0027605191493602467,6.213994989446896e-07,2.3660249244969877e-08,1.1227750137947835e-06,4.006518585420263e-08,1.567140967859733e-06,4.0197443594902835e-08,1.878821815781395e-05,2.3587784687318716e-06,0.0007266778070827345,1.3309107159348304e-05,0.0010589620436948464,1.898934740800447e-05,0.001251345821388577,1.6234276778682297e-05,0.004289019917844619,0.00026303530483787543,0.004761825427085999,0.00011730496564204328,0.011260768205526883,0.00017893083221118882,0.015147800908000655,0.0016109452083679456,3279276.0,0.0,3276.0,0.0,0.018101782966232226,0.000981291669710955,0.13429482564478712,0.0036873832420885144,0.03983871334381656,0.0012655599279398435,1.5731206371571973,0.021740680616646867,0.018101782966232223,0.0009812916697109553,0.05155555694699385,0.00390808776374834,0.11277343442426939,0.008487217596516564,0.5956876608849911,0.02588529596123483,0.06037583296835334,0.0019648580927061603,0.22616679907253898,0.008674069794650716,0.33459496102971714,0.012723661729690586,0.7711649816760492,0.016838014841214263,0.14438734349616453,0.00352682878751984,0.6383970507419162,0.01890705554123621,1.5495570306148043,0.01768340788180783,3279276.0,0.0,3276.0,0.0,2965963.0,0.0,2963.0,0.0,19723.898390069837,979.6904845426994,55.415336,33.164559611042655,"ds01,ds02,ds03"
