metric,experiment,best configuration,ID value,OOD value,OOD / ID,training time [h],runs
MSE,Collocation sampling,p64k / rad,2.53e-06,3.04e-02,12000.7x,1.73,3
MSE,Data augmentation,random_growth / rar_d_growth,1.77e-06,2.51e-02,14179.7x,1.92,3
MSE,Dataset generation,b4096 / qbc_deep_ensemble,6.12e-07,2.04e-02,33262.2x,not available,not available
MSE,Loss balancing,data_warmup_static,3.03e-06,2.75e-02,9101.6x,3.93,3
MSE,Multistage training,multistage_adam_correction,3.20e-06,2.59e-02,8090.0x,2.71,3
MSE,Optimizer comparison,adam_ssbroyden,2.35e-08,7.06e-04,30012.8x,0.49,3
MAE,Collocation sampling,p64k / rad,9.49e-04,5.47e-02,57.7x,1.73,3
MAE,Data augmentation,random_growth / rar_d_growth,8.11e-04,4.90e-02,60.4x,1.92,3
MAE,Dataset generation,b4096 / lhs_static,4.68e-04,3.98e-02,85.0x,not available,not available
MAE,Loss balancing,data_warmup_static,1.05e-03,5.12e-02,48.7x,3.93,3
MAE,Multistage training,multistage_adam_correction,1.12e-03,5.07e-02,45.3x,2.71,3
MAE,Optimizer comparison,adam_ssbroyden,5.90e-05,4.10e-03,69.6x,0.49,3
max absolute error,Collocation sampling,p64k / rad,2.56e-02,1.49e+00,58.4x,1.73,3
max absolute error,Data augmentation,fixed_final / rar_d_growth,2.31e-02,1.37e+00,59.4x,2.53,3
max absolute error,Dataset generation,b4096 / marker_directed,3.40e-02,1.61e+00,47.4x,not available,not available
max absolute error,Loss balancing,ntk,1.97e-02,1.31e+00,66.5x,4.50,3
max absolute error,Multistage training,multistage_adam_correction,2.49e-02,1.43e+00,57.4x,2.71,3
max absolute error,Optimizer comparison,adam_ssbroyden,1.78e-03,6.43e-01,361.1x,0.49,3
trajectory MSE p95,Collocation sampling,p32k / rad,6.84e-06,1.90e-01,27835.3x,1.90,3
trajectory MSE p95,Data augmentation,random_growth / rar_d_growth,5.38e-06,1.65e-01,30616.2x,1.92,3
trajectory MSE p95,Dataset generation,b4096 / qbc_deep_ensemble,1.20e-06,1.27e-01,105766.4x,not available,not available
trajectory MSE p95,Loss balancing,data_warmup_static,8.87e-06,1.82e-01,20504.6x,3.93,3
trajectory MSE p95,Multistage training,multistage_adam_correction,8.89e-06,1.63e-01,18293.4x,2.71,3
trajectory MSE p95,Optimizer comparison,adam_ssbroyden,8.00e-08,9.43e-04,11786.4x,0.49,3
trajectory MSE max,Collocation sampling,p64k / rad,2.29e-05,5.32e-01,23247.8x,1.73,3
trajectory MSE max,Data augmentation,random_growth / rar_d_growth,2.50e-05,4.71e-01,18804.5x,1.92,3
trajectory MSE max,Dataset generation,b4096 / qbc_deep_ensemble,3.89e-06,6.53e-01,167803.9x,not available,not available
trajectory MSE max,Loss balancing,static_tuned,2.74e-05,5.19e-01,18931.4x,4.12,3
trajectory MSE max,Multistage training,multistage_adam_correction,2.85e-05,5.04e-01,17665.4x,2.71,3
trajectory MSE max,Optimizer comparison,adam_ssbroyden,1.45e-07,6.37e-02,439210.2x,0.49,3
